mes_num,mes_nombre,ingrediente,categoria,subcategoria,descripcion_culinaria,zona,disponibilidad,lat,lon,partidos,tipo_clima,descripcion_zona,notas_produccion
2,Febrero,Tomate perita,verdura,fruto,Ideal para salsas y conservas. Alta producción en GBA Sur.,Delta del Tigre,inicio,-34.18,-58.58,"Tigre, San Fernando, Escobar, Campana",Húmedo templado,Zona de islas y humedales. Producción de verduras de hoja y frutilla en pequeñas parcelas familiares. Muy vinculada a la cocina de campo y al turismo gastronómico.,Producción menor. Más orientada a consumo local.
11,Noviembre,Tomate cherry,verdura,fruto,Dulce y carnoso. Muy usado en gastronomía de autor.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Variedad muy demandada por restaurantes. Producción intensiva.
12,Diciembre,Tomate cherry,verdura,fruto,Dulce y carnoso. Muy usado en gastronomía de autor.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Variedad muy demandada por restaurantes. Producción intensiva.
1,Enero,Tomate cherry,verdura,fruto,Dulce y carnoso. Muy usado en gastronomía de autor.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Variedad muy demandada por restaurantes. Producción intensiva.
2,Febrero,Tomate cherry,verdura,fruto,Dulce y carnoso. Muy usado en gastronomía de autor.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Variedad muy demandada por restaurantes. Producción intensiva.
3,Marzo,Tomate cherry,verdura,fruto,Dulce y carnoso. Muy usado en gastronomía de autor.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Variedad muy demandada por restaurantes. Producción intensiva.
11,Noviembre,Tomate cherry,verdura,fruto,Dulce y carnoso. Muy usado en gastronomía de autor.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción bajo invernadero todo el verano.
12,Diciembre,Tomate cherry,verdura,fruto,Dulce y carnoso. Muy usado en gastronomía de autor.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción bajo invernadero todo el verano.
1,Enero,Tomate cherry,verdura,fruto,Dulce y carnoso. Muy usado en gastronomía de autor.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción bajo invernadero todo el verano.
2,Febrero,Tomate cherry,verdura,fruto,Dulce y carnoso. Muy usado en gastronomía de autor.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción bajo invernadero todo el verano.
3,Marzo,Tomate cherry,verdura,fruto,Dulce y carnoso. Muy usado en gastronomía de autor.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción bajo invernadero todo el verano.
3,Marzo,Zapallo anco,verdura,fruto,Textura cremosa. Base de sopas y rellenos de pasta.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Cosecha de otoño. Se conserva meses secos y frescos.
4,Abril,Zapallo anco,verdura,fruto,Textura cremosa. Base de sopas y rellenos de pasta.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Cosecha de otoño. Se conserva meses secos y frescos.
5,Mayo,Zapallo anco,verdura,fruto,Textura cremosa. Base de sopas y rellenos de pasta.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Cosecha de otoño. Se conserva meses secos y frescos.
6,Junio,Zapallo anco,verdura,fruto,Textura cremosa. Base de sopas y rellenos de pasta.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Cosecha de otoño. Se conserva meses secos y frescos.
3,Marzo,Zapallo anco,verdura,fruto,Textura cremosa. Base de sopas y rellenos de pasta.,Pampa Húmeda Interior,plena,-37.30,-59.10,"Tandil, Azul, Olavarría, Rauch",Templado continental,Producción mixta. Tandil conocida por sus chacinados pero también produce verduras de raíz y tubérculos en invierno. Estaciones más marcadas.,Producción a campo. Muy buen calibre.
4,Abril,Zapallo anco,verdura,fruto,Textura cremosa. Base de sopas y rellenos de pasta.,Pampa Húmeda Interior,plena,-37.30,-59.10,"Tandil, Azul, Olavarría, Rauch",Templado continental,Producción mixta. Tandil conocida por sus chacinados pero también produce verduras de raíz y tubérculos en invierno. Estaciones más marcadas.,Producción a campo. Muy buen calibre.
5,Mayo,Zapallo anco,verdura,fruto,Textura cremosa. Base de sopas y rellenos de pasta.,Pampa Húmeda Interior,plena,-37.30,-59.10,"Tandil, Azul, Olavarría, Rauch",Templado continental,Producción mixta. Tandil conocida por sus chacinados pero también produce verduras de raíz y tubérculos en invierno. Estaciones más marcadas.,Producción a campo. Muy buen calibre.
6,Junio,Zapallo anco,verdura,fruto,Textura cremosa. Base de sopas y rellenos de pasta.,Pampa Húmeda Interior,plena,-37.30,-59.10,"Tandil, Azul, Olavarría, Rauch",Templado continental,Producción mixta. Tandil conocida por sus chacinados pero también produce verduras de raíz y tubérculos en invierno. Estaciones más marcadas.,Producción a campo. Muy buen calibre.
3,Marzo,Zapallo anco,verdura,fruto,Textura cremosa. Base de sopas y rellenos de pasta.,Cuenca del Salado,inicio,-36.30,-58.00,"Chascomús, Dolores, General Belgrano, Pila",Templado continental,Zona predominantemente ganadera con producción hortícola menor. Buen potencial para cultivos extensivos como zapallo y choclo.,Producción menor pero de buena calidad.
4,Abril,Zapallo anco,verdura,fruto,Textura cremosa. Base de sopas y rellenos de pasta.,Cuenca del Salado,inicio,-36.30,-58.00,"Chascomús, Dolores, General Belgrano, Pila",Templado continental,Zona predominantemente ganadera con producción hortícola menor. Buen potencial para cultivos extensivos como zapallo y choclo.,Producción menor pero de buena calidad.
5,Mayo,Zapallo anco,verdura,fruto,Textura cremosa. Base de sopas y rellenos de pasta.,Cuenca del Salado,inicio,-36.30,-58.00,"Chascomús, Dolores, General Belgrano, Pila",Templado continental,Zona predominantemente ganadera con producción hortícola menor. Buen potencial para cultivos extensivos como zapallo y choclo.,Producción menor pero de buena calidad.
2,Febrero,Zapallo plomo,verdura,fruto,El más tradicional. Largo período de cosecha.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,El más tradicional. Cosecha manual.
3,Marzo,Zapallo plomo,verdura,fruto,El más tradicional. Largo período de cosecha.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,El más tradicional. Cosecha manual.
4,Abril,Zapallo plomo,verdura,fruto,El más tradicional. Largo período de cosecha.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,El más tradicional. Cosecha manual.
5,Mayo,Zapallo plomo,verdura,fruto,El más tradicional. Largo período de cosecha.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,El más tradicional. Cosecha manual.
2,Febrero,Zapallo plomo,verdura,fruto,El más tradicional. Largo período de cosecha.,Pampa Húmeda Interior,plena,-37.30,-59.10,"Tandil, Azul, Olavarría, Rauch",Templado continental,Producción mixta. Tandil conocida por sus chacinados pero también produce verduras de raíz y tubérculos en invierno. Estaciones más marcadas.,Buen rendimiento en suelos profundos.
3,Marzo,Zapallo plomo,verdura,fruto,El más tradicional. Largo período de cosecha.,Pampa Húmeda Interior,plena,-37.30,-59.10,"Tandil, Azul, Olavarría, Rauch",Templado continental,Producción mixta. Tandil conocida por sus chacinados pero también produce verduras de raíz y tubérculos en invierno. Estaciones más marcadas.,Buen rendimiento en suelos profundos.
4,Abril,Zapallo plomo,verdura,fruto,El más tradicional. Largo período de cosecha.,Pampa Húmeda Interior,plena,-37.30,-59.10,"Tandil, Azul, Olavarría, Rauch",Templado continental,Producción mixta. Tandil conocida por sus chacinados pero también produce verduras de raíz y tubérculos en invierno. Estaciones más marcadas.,Buen rendimiento en suelos profundos.
5,Mayo,Zapallo plomo,verdura,fruto,El más tradicional. Largo período de cosecha.,Pampa Húmeda Interior,plena,-37.30,-59.10,"Tandil, Azul, Olavarría, Rauch",Templado continental,Producción mixta. Tandil conocida por sus chacinados pero también produce verduras de raíz y tubérculos en invierno. Estaciones más marcadas.,Buen rendimiento en suelos profundos.
11,Noviembre,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Muy productivo. Se cosecha antes de madurar.
12,Diciembre,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Muy productivo. Se cosecha antes de madurar.
1,Enero,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Muy productivo. Se cosecha antes de madurar.
2,Febrero,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Muy productivo. Se cosecha antes de madurar.
3,Marzo,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Muy productivo. Se cosecha antes de madurar.
11,Noviembre,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Bajo cubierta permite producción extendida.
12,Diciembre,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Bajo cubierta permite producción extendida.
1,Enero,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Bajo cubierta permite producción extendida.
2,Febrero,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Bajo cubierta permite producción extendida.
3,Marzo,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Bajo cubierta permite producción extendida.
12,Diciembre,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,Delta del Tigre,inicio,-34.18,-58.58,"Tigre, San Fernando, Escobar, Campana",Húmedo templado,Zona de islas y humedales. Producción de verduras de hoja y frutilla en pequeñas parcelas familiares. Muy vinculada a la cocina de campo y al turismo gastronómico.,Pequeña escala. Muy fresco y local.
1,Enero,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,Delta del Tigre,inicio,-34.18,-58.58,"Tigre, San Fernando, Escobar, Campana",Húmedo templado,Zona de islas y humedales. Producción de verduras de hoja y frutilla en pequeñas parcelas familiares. Muy vinculada a la cocina de campo y al turismo gastronómico.,Pequeña escala. Muy fresco y local.
2,Febrero,Zucchini,verdura,fruto,Versátil. Buena producción en cinturón hortícola bonaerense.,Delta del Tigre,inicio,-34.18,-58.58,"Tigre, San Fernando, Escobar, Campana",Húmedo templado,Zona de islas y humedales. Producción de verduras de hoja y frutilla en pequeñas parcelas familiares. Muy vinculada a la cocina de campo y al turismo gastronómico.,Pequeña escala. Muy fresco y local.
12,Diciembre,Berenjena,verdura,fruto,Requiere calor. Temporada corta y bien definida.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Requiere calor intenso. Pico en enero.
1,Enero,Berenjena,verdura,fruto,Requiere calor. Temporada corta y bien definida.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Requiere calor intenso. Pico en enero.
2,Febrero,Berenjena,verdura,fruto,Requiere calor. Temporada corta y bien definida.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Requiere calor intenso. Pico en enero.
3,Marzo,Berenjena,verdura,fruto,Requiere calor. Temporada corta y bien definida.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Requiere calor intenso. Pico en enero.
12,Diciembre,Berenjena,verdura,fruto,Requiere calor. Temporada corta y bien definida.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Similar condiciones. Temporada corta.
1,Enero,Berenjena,verdura,fruto,Requiere calor. Temporada corta y bien definida.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Similar condiciones. Temporada corta.
2,Febrero,Berenjena,verdura,fruto,Requiere calor. Temporada corta y bien definida.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Similar condiciones. Temporada corta.
3,Marzo,Berenjena,verdura,fruto,Requiere calor. Temporada corta y bien definida.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Similar condiciones. Temporada corta.
12,Diciembre,Morrón rojo,verdura,fruto,Dulce al madurar. Excelente asado o en escabeche.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,El rojo requiere maduración completa. Verano.
1,Enero,Morrón rojo,verdura,fruto,Dulce al madurar. Excelente asado o en escabeche.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,El rojo requiere maduración completa. Verano.
2,Febrero,Morrón rojo,verdura,fruto,Dulce al madurar. Excelente asado o en escabeche.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,El rojo requiere maduración completa. Verano.
3,Marzo,Morrón rojo,verdura,fruto,Dulce al madurar. Excelente asado o en escabeche.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,El rojo requiere maduración completa. Verano.
11,Noviembre,Morrón rojo,verdura,fruto,Dulce al madurar. Excelente asado o en escabeche.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción importante bajo cubierta.
12,Diciembre,Morrón rojo,verdura,fruto,Dulce al madurar. Excelente asado o en escabeche.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción importante bajo cubierta.
1,Enero,Morrón rojo,verdura,fruto,Dulce al madurar. Excelente asado o en escabeche.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción importante bajo cubierta.
2,Febrero,Morrón rojo,verdura,fruto,Dulce al madurar. Excelente asado o en escabeche.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción importante bajo cubierta.
3,Marzo,Morrón rojo,verdura,fruto,Dulce al madurar. Excelente asado o en escabeche.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción importante bajo cubierta.
11,Noviembre,Morrón verde,verdura,fruto,Más amargo que el rojo. Usado en salteados y guisos.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Más tolerante que el rojo. Empieza antes.
12,Diciembre,Morrón verde,verdura,fruto,Más amargo que el rojo. Usado en salteados y guisos.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Más tolerante que el rojo. Empieza antes.
1,Enero,Morrón verde,verdura,fruto,Más amargo que el rojo. Usado en salteados y guisos.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Más tolerante que el rojo. Empieza antes.
2,Febrero,Morrón verde,verdura,fruto,Más amargo que el rojo. Usado en salteados y guisos.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Más tolerante que el rojo. Empieza antes.
3,Marzo,Morrón verde,verdura,fruto,Más amargo que el rojo. Usado en salteados y guisos.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Más tolerante que el rojo. Empieza antes.
10,Octubre,Morrón verde,verdura,fruto,Más amargo que el rojo. Usado en salteados y guisos.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción continua bajo invernadero.
11,Noviembre,Morrón verde,verdura,fruto,Más amargo que el rojo. Usado en salteados y guisos.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción continua bajo invernadero.
12,Diciembre,Morrón verde,verdura,fruto,Más amargo que el rojo. Usado en salteados y guisos.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción continua bajo invernadero.
1,Enero,Morrón verde,verdura,fruto,Más amargo que el rojo. Usado en salteados y guisos.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción continua bajo invernadero.
2,Febrero,Morrón verde,verdura,fruto,Más amargo que el rojo. Usado en salteados y guisos.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción continua bajo invernadero.
3,Marzo,Morrón verde,verdura,fruto,Más amargo que el rojo. Usado en salteados y guisos.,GBA Norte Hortícola,plena,-34.45,-58.78,"Pilar, Exaltación de la Cruz, Luján, Mercedes",Templado húmedo,Cinturón hortícola norte. Producción intensiva de tomates,Producción continua bajo invernadero.
12,Diciembre,Choclo,verdura,grano,Cosecha de verano. Base de humitas y locros.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Choclo dulce en verano. Cosecha manual.
1,Enero,Choclo,verdura,grano,Cosecha de verano. Base de humitas y locros.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Choclo dulce en verano. Cosecha manual.
2,Febrero,Choclo,verdura,grano,Cosecha de verano. Base de humitas y locros.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Choclo dulce en verano. Cosecha manual.
3,Marzo,Choclo,verdura,grano,Cosecha de verano. Base de humitas y locros.,GBA Sur Hortícola,plena,-34.85,-58.20,"Florencio Varela, Berazategui, La Plata, Cañuelas",Templado húmedo,El cinturón hortícola más grande del país. Producción casi continua de hoja,Choclo dulce en verano. Cosecha manual.
12,Diciembre,Choclo,verdura,grano,Cosecha de verano. Base de humitas y locros.,Cuenca del Salado,plena,-36.30,-58.00,"Chascomús, Dolores, General Belgrano, Pila",Templado continental,Zona predominantemente ganadera con producción hortícola menor. Buen potencial para cultivos extensivos como zapallo y choclo.,Producción extensiva. Choclo blanco y amarillo.
